iter,container_id,memory_MB,CPU
1,7e214b995cfc6ba0168c93b6e33c01a315057f5f1f82846a88ecabab57965852,1.503,1.9391198845324888
2,1291207b4627acbcd3f435c93f94729500c9b89d9c8889755e7a5213480b4588,1.552,1.9031796250082915
3,27b4dd83954dc63742282ff4f94c304c24759af295604462082ede3b5e92bbb0,1.503,2.0967816989214514
4,00f94bf170a5c1eda63b882616053850c07294db2e1e9ff577f3230b700276fa,1.462,2.408923712013323
5,6bbf54c8fad449719bc83ffa081172a5aa67acab82e50dff0eefaa8d898c7922,1.556,1.9212984150866443
6,e48b746aed9f772b0c856afc3b9bd935d32e5c24d2814a3922f73ce428bbf338,1.507,1.7139546443160563
7,eae81ca51d091342b29accdabf7daea80188edbe43fc3359cf99a8cf67588774,1.565,1.9704154951578008
8,dcb91390263ff79915aa6b6d8ac0aa26e554c2853b2723b55808a657dbe742d6,1.499,2.024136746608611
9,4048d6448dba8bbf1736a8a827c97db2103ae46b1fba6035c5ed5f49b0b55321,1.462,1.9605850071645312
10,50491e04a08d57d2a29992297f5b0eabd34d92c5da2ea4f4fe84efad057ba214,1.376,1.781311913605766
11,c46debc3329ac3c97aa1fbd2554c85fe49526f55279d91e7d444aac7d026a93f,1.487,1.8357200958049669
12,ce3435388f76c0235f4fcc62a3d889924cb2d9bd42e1897c1940eb2be383718f,1.315,1.927983734322602
13,f687eb2d22481c12162084733d10625ad110e627e4c27eb3788009791c920afb,1.499,1.8336485071309785
14,8ba7d31acc6748f1550211fe650f5f0c17c11d80ede81af750ec066e53a1b90c,1.516,2.014116130223921
15,a41388e74dbe23b7acd46069f8229fe0f381c94b52ad3df90ac4e0babf52aa68,1.495,1.938704860324587
16,8ca1d655555e88aeb6878adcb3f0dde6dfdd6b9cad3d55800ab2771c616a467a,1.503,1.6172642630286653
17,00b8a3fa618b609907ccf6ad60ae2f52ae860aac70093123c3b18ab6df344783,1.511,1.7947200598394621
18,236b92424cf5d1458302c52796f45b72665116c22b2901086e647064f09401cf,1.491,1.9238281464946887
19,3a1690a85f45f51e5cf34a8ee0bdecdf6c0f495583c1e1ce4f97cf7f015e7728,1.491,2.148211652143031
20,2da7568cc86bbe93e41f2e8b70e90f63dc23ad746a3b409cf741a0bb25c1c848,1.528,1.7208464554757834
21,702c5e802bfaab37edecfd265a339d376254490b917cbdff1384a25275c2738f,1.45,1.9543229814765588
22,b67381ed2d6c5f66b4111357b472b91dcaa7b83319384452a2d652effe04acfe,1.446,2.0287291804432694
23,eeb2b8ed8dcd204ad659baf7f6ea499dfcf4346fd30a49e75e547acb1ed6336d,1.552,1.6793606927553977
24,db2e22e6258c0d53843836e4be1756efd8911901b1b2f6cc25f8cdffaf666f67,1.434,1.7463690421817997
25,8d443aa403167e87d32682dc2903301b2953ff3ac45745b8847486f9a08b4548,1.561,1.8092608954617042
26,b55ac001bc28e608a41006c44f031ca2f21dbdc2da532d21d21d42049c0b308a,1.397,1.7403903266727059
27,655724b73ff3fac2db13e99c1cb5e6779d85d173596384025e68611585faa536,1.52,2.280861374623032
28,02140095aeb6490fb0299a3af542df47fe44137642fb10ba6a2c2054cd35df4d,1.462,1.8941969618441443
29,86ee6716289240302e412d379ffeae1cbe2a0f2752a80112d0e8e179fde3ca04,1.561,2.0708788203396478
30,49f23df5311ce683bd343cfa73b81ae34d85182d0daef2b3567150ea56b6435f,1.487,1.8081800932285281
31,6886538143df79398529cfddd66f0431851bfdb8f935bec082c84e94a43e8de1,1.503,1.7697004772861586
32,cbb76746eae8aa21b19c87cd615dec4864f1e5d198821d0229129bc4db4d4b6e,1.466,1.81690935414028
33,1382fbd3f0a0cc073e4370b2657dbada29754e891e98e6f2ba114b03daaa2aef,1.45,1.8928369078952325
34,e4802f8cd78a34b1011021c75d1c5f82402c94ce2c39f68535bf4aae411d1874,1.503,2.00382600636622
35,841a4b2257bad0dc5614bdef9371d33ec250517a420e31ebf9cbbd1a3c8fcdc8,1.401,1.849858016987822
36,86df4f82a732f1d0c5336cb5140cc4ecc9ae5976cb747e7f9f9c91b48fa20891,1.446,1.7789213256812653
37,4407c86928a3739bc07c559a7c873b566e4d286b5541ff537c243179c4b20079,1.556,1.7840817248418617
38,f73d976b257bccc02d516625b6cfa5fb660b1d41814235f8f02b059461ca973d,1.409,1.9152676271020863
39,678e7702d39c6684ea60cafe0b969b0c894461c13c66d2355ebc3495c2b9f551,1.503,2.0449832894069835
40,cfa6651b3d4fd5e17a687c6709c14bafe2be094d50c8ab30bf1c9965eb108edf,1.45,1.7255208637793316
41,1ced53eabfc65230b791d1cb3de7fe41e7a3db1d1dcc45c4edea529e62e6ca69,1.413,1.9181697283882304
42,918f88bf5f90c41a849888bb44908bf76698468562863d636158aa05b0e82666,1.409,2.0569029369244967
43,84c06f527beaff7414a244da078cd48d1a08814b4690951d8691ccb1a75a1213,1.495,1.8151141344075115
44,051f4bced3ba34a9ca61840a89994034579113f71862b17906bec6e3f2b5d0a8,1.45,1.7006157396290438
45,9762286485c62ee10c42f2eebd01390b0d4a89caac88ad4e974558e0dc3fc4c1,1.495,1.7708326417217672
46,a0d3afd4dbb7e05edf4318cd8334accf6a8e3f798ab13447652099a51a8939b6,1.442,1.9120191485123332
47,c3c422d383b341c78fa7fa6d6f4b10b54e4176da63b1eb757998c9ae66a089c2,1.503,1.9615762984016036
48,cf0e22df8ce109ee95bca1ce5ff64bedb5e4142d9eb413e381682e76a7fdf43a,1.503,2.1148211801953756
49,e2937b0ac1ec288f86713a091890c35706da5d8972a45b84003d54d06ae27166,1.393,1.8935615494451614
50,e43d443c7cb0b11e5a9180fbe4b194fc309680d12b4f94cca60ad2fdf950a010,1.556,1.9511102513676093
