iter,socket,mss,start,end,bps
1,6,1000,0,0.100088,102187834.40167032
1,6,1000,0.100088,0.200124,96868164.84951423
1,6,1000,0.200124,0.30011,94149819.23369826
1,6,1000,0.30011,0.400098,96993720.59975311
1,6,1000,0.400098,0.500098,96112638.56781007
1,6,1000,0.500098,0.600138,96864290.74104616
1,6,1000,0.600138,0.70012,96288050.9947247
1,6,1000,0.70012,0.800088,96775927.09040312
1,6,1000,0.800088,0.900094,96185909.6077001
1,6,1000,0.900094,1.000095,96823031.89756866
1,6,1000,1.000095,1.100098,93896706.26921912
1,6,1000,1.100098,1.2001,99114179.455155
1,6,1000,1.2001,1.300103,93896706.26921912
1,6,1000,1.300103,1.400096,96198415.86660857
1,6,1000,1.400096,1.500101,96819158.23878275
1,6,1000,1.500101,1.6000969999999999,96511699.95809269
1,6,1000,1.6000969999999999,1.700102,96503014.04861529
1,6,1000,1.700102,1.8001049999999998,96425910.47849101
1,6,1000,1.8001049999999998,1.900108,96583985.7415705
1,6,1000,1.900108,2.000057,97031563.89892097
1,6,1000,2.000057,2.100093,95999037.75869477
1,6,1000,2.100093,2.200092,96271679.72051819
1,6,1000,2.200092,2.30009,96746897.5656594
1,6,1000,2.30009,2.400089,96271679.72051819
1,6,1000,2.400089,2.500088,94611823.1736127
1,6,1000,2.500088,2.600239,98493192.90790506
1,6,1000,2.600239,2.700091,96650880.25136957
1,6,1000,2.700091,2.800131,96469248.77228169
1,6,1000,2.800131,2.900104,93766756.47474417
1,6,1000,2.900104,3.000145,96626301.25000603
1,6,1000,3.000145,3.100103,96706534.26165149
1,6,1000,3.100103,3.200092,96360362.54748242
1,6,1000,3.200092,3.300097,96423978.00107342
1,6,1000,3.300097,3.4000909999999998,96592679.11327581
1,6,1000,3.4000909999999998,3.500103,96733354.97207284
1,6,1000,3.500103,3.60014,96235111.97561939
1,6,1000,3.60014,3.700104,96384458.13054764
1,6,1000,3.700104,3.800091,96678487.98400241
1,6,1000,3.800091,3.900092,96427835.84900714
1,6,1000,3.900092,4.00009,96588814.39970244
1,6,1000,4.00009,4.100186,96415279.19049014
1,6,1000,4.100186,4.200091,96599610.46366782
1,6,1000,4.200091,4.300101,93890130.82798262
1,6,1000,4.300101,4.400122,96408556.87719946
1,6,1000,4.400122,4.500104,96683322.14002325
1,6,1000,4.500104,4.600218,62449445.86824423
1,6,1000,4.600218,4.700252,0
1,6,1000,4.700252,4.800245,0
1,6,1000,4.800245,4.900189,0
1,6,1000,4.900189,5.000215,0
1,6,1000,5.000215,5.100247,0
1,6,1000,5.100247,5.200262,0
1,6,1000,5.200262,5.300169,0
1,6,1000,5.300169,5.400242,0
1,6,1000,5.400242,5.500312,0
1,6,1000,5.500312,5.600196,0
1,6,1000,5.600196,5.700207,0
1,6,1000,5.700207,5.800196,0
1,6,1000,5.800196,5.900262,0
1,6,1000,5.900262,6.000189,0
1,6,1000,6.000189,6.100166,0
1,6,1000,6.100166,6.200212,0
1,6,1000,6.200212,6.300221,0
1,6,1000,6.300221,6.400256,0
1,6,1000,6.400256,6.500199,0
1,6,1000,6.500199,6.600264,0
1,6,1000,6.600264,6.700218,0
1,6,1000,6.700218,6.800245,0
1,6,1000,6.800245,6.900274,0
1,6,1000,6.900274,7.000178,0
1,6,1000,7.000178,7.100217,0
1,6,1000,7.100217,7.200213,0
1,6,1000,7.200213,7.300199,0
1,6,1000,7.300199,7.400242,0
1,6,1000,7.400242,7.5001940000000005,0
1,6,1000,7.5001940000000005,7.600155,0
1,6,1000,7.600155,7.700201,0
1,6,1000,7.700201,7.800207,0
1,6,1000,7.800207,7.900188,0
1,6,1000,7.900188,8.000201,0
1,6,1000,8.000201,8.10025,0
1,6,1000,8.10025,8.200208,0
1,6,1000,8.200208,8.300097,120294163.2246584
1,6,1000,8.300097,8.400093,636455534.8587734
1,6,1000,8.400093,8.500089,599937594.3340896
1,6,1000,8.500089,8.600092,516431884.4807051
1,6,1000,8.600092,8.700071,470228675.9997967
1,6,1000,8.700071,8.800097,463528138.60235965
1,6,1000,8.800097,8.900091,562798588.6141766
1,6,1000,8.900091,9.00009,605610517.2566588
1,6,1000,9.00009,9.100089,640072300.8019346
1,6,1000,9.100089,9.200089,596435831.1124135
1,6,1000,9.200089,9.300097,594333233.0527376
