iter,scenario,elapsed,user,sys,CPU
1,ns_clear,0.613821634,0.005956000,0.007450000,0.021
1,scp_ckpt,1.059428886,0.008301000,0.005735000,0.013
1,create_ns,0.518010807,0.001397000,0.011709000,0.024
1,clear_arp,0.089500172,0.017030000,0.027904000,0.000
1,ns_clear_real,0.084184336,0.012366000,0.018706000,0.000
1,scp_ckpt_real,0.607524988,0.018725000,0.008001000,0.002
1,create_ns_real,0.058281311,0.007929000,0.010070000,0.000
1,perf_ckpt,1.465472145,0.013701000,0.000000000,0.009
1,perf_restore,0.658997716,0.011503000,0.002548000,0.020
2,ns_clear,0.894550637,0.010240000,0.002878000,0.014
2,scp_ckpt,1.135778866,0.007596000,0.006113000,0.011
2,create_ns,0.522588543,0.012373000,0.001368000,0.025
2,clear_arp,0.063883845,0.024452000,0.018480000,0.000
2,ns_clear_real,0.343512979,0.017823000,0.015333000,0.000
2,scp_ckpt_real,0.656308146,0.012445000,0.013916000,0.002
2,create_ns_real,0.057949946,0.019021000,0.000975000,0.000
2,perf_ckpt,1.300814241,0.004646000,0.009266000,0.010
2,perf_restore,0.702407807,0.008243000,0.005572000,0.019
3,ns_clear,0.905321940,0.011417000,0.001392000,0.013
3,scp_ckpt,1.036453723,0.007447000,0.005027000,0.012
3,create_ns,0.495305160,0.009646000,0.002720000,0.024
3,clear_arp,0.065104520,0.025759000,0.018928000,0.000
3,ns_clear_real,0.346004618,0.018261000,0.016909000,0.000
3,scp_ckpt_real,0.579729492,0.018708000,0.007083000,0.002
3,create_ns_real,0.057481641,0.010461000,0.010057000,0.000
3,perf_ckpt,1.290447655,0.012876000,0.000000000,0.010
3,perf_restore,0.670808954,0.012494000,0.000000000,0.018
4,ns_clear,0.848932786,0.012825000,0.000000000,0.015
4,scp_ckpt,1.032833462,0.001445000,0.010854000,0.011
4,create_ns,0.508906777,0.012266000,0.000000000,0.023
4,clear_arp,0.073101369,0.023421000,0.019697000,0.000
4,ns_clear_real,0.324712984,0.017451000,0.015556000,0.000
4,scp_ckpt_real,0.574258013,0.016130000,0.010707000,0.002
4,create_ns_real,0.052560097,0.016239000,0.002239000,0.000
4,perf_ckpt,1.625838217,0.012445000,0.000000000,0.007
4,perf_restore,0.687904193,0.006988000,0.004798000,0.016
5,ns_clear,0.605812663,0.009207000,0.003880000,0.021
5,scp_ckpt,1.093240122,0.012368000,0.000000000,0.011
5,create_ns,0.494872720,0.008965000,0.003795000,0.025
5,clear_arp,0.069377627,0.022026000,0.028058000,0.000
5,ns_clear_real,0.059764079,0.009913000,0.016762000,0.000
5,scp_ckpt_real,0.620115335,0.014699000,0.013665000,0.002
5,create_ns_real,0.047249846,0.010890000,0.007338000,0.000
5,perf_ckpt,1.390905442,0.005125000,0.007200000,0.008
5,perf_restore,0.678320780,0.010076000,0.001397000,0.016
6,ns_clear,0.591847866,0.012690000,0.001779000,0.023
6,scp_ckpt,1.125488864,0.014019000,0.000000000,0.012
6,create_ns,0.495320795,0.008224000,0.006760000,0.029
