iter,container_id,memory_MB,CPU
1,d86f408a55fe1a91883dc50f03afb662dc09b9a51ac5d63fd3d6f821e655305d,1.507,1.748326028871382
2,0bd5a68db369f6a5d181c4de027e0cb98e0c75c5746fecda758727072ba9431d,1.503,2.0274320609188883
3,0c11b1ce640f626963d1807be3da7031a17a52513df19963f8763a51937d3c21,1.507,1.963887820745434
4,af49b8f5e56754dcb10902e72435ef4e4c7b44ee55ac5c2b6f23b502a07726f3,1.454,1.8819737226737008
5,de5101d2036c077c21b8dc5c67a8bc5f96752f176507b6822d3e9825eaf39792,1.503,1.9790614231576626
6,34a8a50a86d9fa86f4e8c91e0bcec3bd154c2f29fdffea4a7c6a36ea827d2a03,1.499,1.8868567570363513
7,ae17dda19064282f539294bca911783faffa79ad534d009bb7d15f7a108c28fc,1.43,1.856225069561917
8,f57227cb2ce5f491501db88566c25aaec6be5aca30e06cbdd0dd9222ee60d085,1.462,1.9549076006892885
9,213302a0e904369700d968c58927c92b1d202588d14d4ecb764fae23a09d99ae,1.491,1.9970499943850133
10,334ece5ead9470d3725431ffe1b344864ca44a2e8a9fe55ca5b871e2dd2bf71f,1.491,1.5115854899639691
11,87de4f804c233dd78284d3ab6494559da9fba83f9cd191a62e324a90958c5679,1.495,2.1174553409656105
12,7a868594ed3b7555c0c8d24503495c7477d48901c3d358c133b81555bd05fb4b,1.479,1.6497356727110926
13,3284af430b3559af28b1b41a919d635adb4978ab6439f2a7345f38f19f29d53a,1.38,1.910618117126446
14,58849eb451ed497659f9175710d4c7d107287efcfa2bf3652c09d0691ce1af2e,1.499,2.0619090725639317
15,0f6c111205ea21e98cef70f27b06e67dddcf8f7c78a074748b609b4277b30b72,1.393,1.797927576999775
16,db4f3a8f78f01f4c2f21dc92b954db0f3fc73e7e89a36bb9d50d86ede703cf0b,1.52,1.9617382800059227
17,91aa0c1a6283872529ae0c5865f0ba39c19bd34c916a90ae51ac39e3d644fb30,1.405,1.6796238145485027
18,ebceb892e2605bb03393e9c6054af5855288a03b2e8c4023cf9551ed7abfd983,1.614,1.9315218544741057
19,2561037afc9cbabc3df445058ffdff1652d7472f89dc64a81f4806b49f9ab012,1.393,1.6843271662354256
20,5677ae95aa7bbaf252647e38e2ebc8bbe4436ee5ed6d6c87f00d28d09507e728,1.466,1.8110842196431391
21,2d17fed38ed29f9590ed6f4e4704d32d990d76383c73ff872a6b20cde065121e,1.405,1.8587567096048225
22,bcb2f89b094e82868ccf656a0d0e6061216e355b24ef7781fa9aae29fe5408a9,1.438,1.8420957691208037
23,32705abeeb31ebdfc20662fca203b5f4f198c74be1f95be9faafce2442ee4d2d,1.487,1.7306038490338418
24,10e7196c0b2a885e943e7ffb5f710a3828dd497a733aa3af54e6d2c2db4a6a32,1.511,1.6958029058221846
25,bc3f7729aab66bff76ce813490d4ae9db38d0ca703660a6c91a30adfdf030e88,1.442,1.7781293877104827
26,d47ca07e29f6ce9437d33d73f3e6b375237aade1c91a2d5b878be49cec78863f,1.483,1.8027495658320207
27,c25630707484eea3a1a9cf99f1d712e2b3b88a61cd44c30d98530145ae630682,1.466,1.8067937883526735
28,677bda58725c0127e45ed4d5ed6da8bed2b50d45d10c6df7b9b1f4b59814270d,1.511,1.8059203765660214
29,ae2c445a304fa9b94d7264551e5983cb57382677b8472ae688ebb687a910409e,1.495,2.203895438318904
30,dcde5039eaeccb986c94eb94638fa02226f314eb9fdf8e7e128c223e6e5cfb59,1.495,1.8439064817052018
31,bf02fe0137effd4b71dcddeabebea59d66f68cb51e4e66a96e117a464051b1e6,1.503,1.9835397116142732
32,392844553fa4388aec885c29c93e21472d8f18113b0c5f36a8a5942172dcbb49,1.45,1.9361572992614313
33,5adfc6793327d6ae4baa013c60e4b39e591e802c40c856626e1fc31c14ec5fac,1.556,1.9090264678142514
34,2c1fe9aa2be662f2443b4a8aa68d5eaa3ddb8e2a2c312276d0b07111ded8a1c8,1.458,1.7959172608258047
35,ee685e2a43b44898d538ec4da08bfa67c3d100ef1b6e984324d064ae1fe86bd0,1.434,1.76887798318756
36,e56ba1d44138d7b2431a57862030f7cc1bfb212c068c9d756e23631d4c3fcbf8,1.487,1.7739278383853159
37,d793819cf32c086473a77947544bd9abcdc4eaac7d061e047d1fbf0fb9912d76,1.561,1.785746316826391
38,c6b112bc60b79af5d07245a70ff8b2baf311126747bdf66e48fd7e9a0debbc9e,1.507,1.8535663802793017
39,b778c145476933525adc34355b0eedc38b2a0b3f203983465e735b467877fdf3,1.503,2.035221259359105
40,98480d7e5ba454505179561b767f4825dc0cb04b98b49f1ac80b0696dc514105,1.52,1.8603529216052006
41,c4c913d29679d4ba63ee07059789efc4c3f12e5309bb40bdd2fb38ab640e13bd,1.454,2.2114746343191216
42,d0a63e1d51f140a9f7bf83d121e5e294eedc69338256e6d4860591f1dce55f96,1.503,1.774489070868854
43,17f52794b896ffc6f810964c37ca553048e2ade1459fc3b641183eb883aee85f,1.479,1.781841600170422
44,9c5470ea3f432e30ce3ef86a1263faaf08b955b0c3918ece59e548cf5405bc73,1.466,1.6513387035038092
45,77eaa5b21e3dfd59cfdf968dee8e810901e16702374e8ffc39364ae6790903fd,1.495,1.7742400787529775
46,c98f7cf812a71d11710d76d9633cb3940b27b600939b4a93e0933de9557ee765,1.409,1.8437253018191873
47,7cf613574e2c11534433c219b248b645f8da99549951af7daab77e9c2a2acdac,1.544,2.086263116061313
48,76232fcfbe93bf28ef6aed402d29fc08a30cc2dee25fa3fda6226918d2ecb182,1.524,1.79924585430862
49,8eb5eaecdad0a4249ead0522ced823d917378d59154ee2c41134b256dd2e9ef7,1.442,2.156998216259729
50,2b49a2b4ff4167549f911886e3eb57b7a51c74d09d0f41b0b800c6084024c122,1.561,2.1854379269336843
