iter,scenario,elapsed,user,sys,CPU
1,ns_clear,0.948266380,0.013802000,0.000000000,0.014
1,scp_ckpt,1.607250905,0.012735000,0.000000000,0.008
1,create_ns,0.514205672,0.006728000,0.005447000,0.023
1,clear_arp,0.083948478,0.023585000,0.019090000,0.000
1,ns_clear_real,0.100098559,0.016306000,0.012029000,0.000
1,scp_ckpt_real,1.115147507,0.044050000,0.030262000,0.001
1,create_ns_real,0.052070825,0.008858000,0.008664000,0.000
2,ns_clear,1.173606929,0.013941000,0.000000000,0.011
2,scp_ckpt,6.659437714,0.001820000,0.012109000,0.002
2,create_ns,0.520895989,0.012949000,0.000000000,0.024
2,clear_arp,0.121226933,0.022783000,0.023927000,0.000
2,ns_clear_real,0.367894092,0.011512000,0.022680000,0.000
2,scp_ckpt_real,6.168794799,0.044143000,0.036322000,0.000
2,create_ns_real,0.060129297,0.011488000,0.006135000,0.000
3,ns_clear,0.951230666,0.012966000,0.000000000,0.013
3,scp_ckpt,1.643583602,0.012376000,0.000000000,0.007
3,create_ns,0.528020043,0.009758000,0.002733000,0.023
3,clear_arp,0.119045913,0.013295000,0.033199000,0.000
3,ns_clear_real,0.140883012,0.010901000,0.018244000,0.000
3,scp_ckpt_real,1.155117728,0.059211000,0.015588000,0.001
3,create_ns_real,0.064761539,0.011159000,0.007419000,0.000
4,ns_clear,1.040354578,0.009703000,0.004085000,0.013
4,scp_ckpt,1.650620685,0.013837000,0.000000000,0.008
4,create_ns,0.579517073,0.011256000,0.001556000,0.021
4,clear_arp,0.106562397,0.021023000,0.024081000,0.000
4,ns_clear_real,0.156572191,0.014774000,0.025462000,0.000
4,scp_ckpt_real,1.165808246,0.046322000,0.028243000,0.001
4,create_ns_real,0.102117941,0.012228000,0.006096000,0.000
5,ns_clear,0.966931412,0.006127000,0.008930000,0.015
5,scp_ckpt,1.704945675,0.007395000,0.005756000,0.007
5,create_ns,0.533427258,0.012625000,0.000000000,0.023
5,clear_arp,0.134929031,0.031127000,0.014340000,0.000
5,ns_clear_real,0.135417480,0.010721000,0.019310000,0.000
5,scp_ckpt_real,1.214711893,0.034390000,0.033024000,0.001
5,create_ns_real,0.064991416,0.015711000,0.001778000,0.000
6,ns_clear,0.990242173,0.012839000,0.000000000,0.012
6,scp_ckpt,1.686285325,0.010655000,0.001265000,0.007
6,create_ns,0.581441867,0.005986000,0.006962000,0.021
6,clear_arp,0.168083021,0.034255000,0.011507000,0.000
6,ns_clear_real,0.152344539,0.014232000,0.016530000,0.000
6,scp_ckpt_real,1.192460426,0.048390000,0.022900000,0.001
6,create_ns_real,0.106517492,0.012499000,0.005136000,0.000
7,ns_clear,1.018524628,0.013297000,0.000000000,0.012
7,scp_ckpt,1.640002300,0.001817000,0.010795000,0.007
7,create_ns,0.573867374,0.001811000,0.010549000,0.020
7,clear_arp,0.112454224,0.019460000,0.028035000,0.000
7,ns_clear_real,0.140228078,0.004230000,0.021169000,0.000
7,scp_ckpt_real,1.140126485,0.044172000,0.024386000,0.001
7,create_ns_real,0.094487956,0.008004000,0.012432000,0.000
8,ns_clear,1.006409215,0.001945000,0.013248000,0.014
8,scp_ckpt,1.708961260,0.007107000,0.005597000,0.007
8,create_ns,0.529461092,0.001679000,0.011489000,0.024
8,clear_arp,0.107079037,0.029343000,0.015857000,0.000
8,ns_clear_real,0.171339297,0.004953000,0.032935000,0.000
8,scp_ckpt_real,1.217366178,0.042831000,0.027571000,0.001
8,create_ns_real,0.058219044,0.010047000,0.007952000,0.000
9,ns_clear,1.253177203,0.008821000,0.004652000,0.010
9,scp_ckpt,1.708149192,0.007528000,0.005837000,0.007
9,create_ns,0.564447169,0.001749000,0.011124000,0.021
9,clear_arp,0.119315485,0.024300000,0.020886000,0.000
9,ns_clear_real,0.433373465,0.006302000,0.028229000,0.000
9,scp_ckpt_real,1.208437884,0.044545000,0.025357000,0.001
9,create_ns_real,0.099690207,0.010356000,0.006531000,0.000
10,ns_clear,0.960085814,0.007665000,0.006051000,0.013
10,scp_ckpt,1.600549136,0.007043000,0.005319000,0.007
10,create_ns,0.537450537,0.007515000,0.005434000,0.023
10,clear_arp,0.133055485,0.018217000,0.029323000,0.000
10,ns_clear_real,0.132767556,0.007903000,0.018098000,0.000
10,scp_ckpt_real,1.103995115,0.037671000,0.032536000,0.001
10,create_ns_real,0.063207093,0.014566000,0.003665000,0.000
11,ns_clear,1.022362947,0.013381000,0.000000000,0.012
11,scp_ckpt,1.673480268,0.003769000,0.009253000,0.007
11,create_ns,0.557715037,0.001589000,0.010737000,0.021
11,clear_arp,0.188188395,0.037225000,0.007204000,0.000
11,ns_clear_real,0.156153451,0.005219000,0.024940000,0.000
11,scp_ckpt_real,1.186371510,0.039628000,0.030047000,0.001
11,create_ns_real,0.085740750,0.009898000,0.007724000,0.000
12,ns_clear,1.328195601,0.008933000,0.003651000,0.009
12,scp_ckpt,1.711964089,0.007866000,0.006264000,0.008
12,create_ns,0.566517111,0.008605000,0.003644000,0.021
12,clear_arp,0.140202237,0.036440000,0.010046000,0.000
12,ns_clear_real,0.440492538,0.003417000,0.036435000,0.000
12,scp_ckpt_real,1.215204241,0.029476000,0.042485000,0.001
12,create_ns_real,0.093919761,0.009578000,0.008180000,0.000
13,ns_clear,1.271966907,0.009596000,0.003853000,0.010
13,scp_ckpt,1.708892725,0.005556000,0.007390000,0.007
13,create_ns,0.540960807,0.006109000,0.008349000,0.025
13,clear_arp,0.121699668,0.027403000,0.019471000,0.000
13,ns_clear_real,0.417451156,0.019881000,0.016184000,0.000
13,scp_ckpt_real,1.208098403,0.036480000,0.032600000,0.001
13,create_ns_real,0.063972008,0.013645000,0.004027000,0.000
14,ns_clear,1.014571453,0.012432000,0.000000000,0.012
14,scp_ckpt,1.794053430,0.006940000,0.004723000,0.006
14,create_ns,0.560657296,0.007968000,0.004343000,0.021
14,clear_arp,0.098973119,0.026517000,0.019740000,0.000
14,ns_clear_real,0.160565871,0.009558000,0.022057000,0.000
14,scp_ckpt_real,1.300711634,0.064517000,0.030351000,0.001
14,create_ns_real,0.099844299,0.010597000,0.007119000,0.000
15,ns_clear,0.973585037,0.007577000,0.005862000,0.013
15,scp_ckpt,1.629139208,0.008133000,0.005600000,0.008
15,create_ns,0.535667120,0.000000000,0.012929000,0.023
15,clear_arp,0.115653624,0.031093000,0.013921000,0.000
15,ns_clear_real,0.144815049,0.011915000,0.018304000,0.000
15,scp_ckpt_real,1.129846900,0.034835000,0.038182000,0.001
15,create_ns_real,0.063164068,0.011300000,0.006741000,0.000
16,ns_clear,0.948847022,0.014366000,0.000000000,0.014
16,scp_ckpt,1.675281707,0.008640000,0.004394000,0.007
16,create_ns,0.533874728,0.007337000,0.005524000,0.023
16,clear_arp,0.135048691,0.019669000,0.024274000,0.000
16,ns_clear_real,0.128906621,0.011151000,0.017662000,0.000
16,scp_ckpt_real,1.190730436,0.037368000,0.032089000,0.001
16,create_ns_real,0.061666080,0.013625000,0.004774000,0.000
17,ns_clear,1.001706664,0.007795000,0.006115000,0.013
17,scp_ckpt,1.664261138,0.012705000,0.000000000,0.007
17,create_ns,0.530365029,0.007588000,0.005364000,0.023
17,clear_arp,0.121883916,0.016924000,0.027895000,0.000
17,ns_clear_real,0.148547791,0.010489000,0.019542000,0.000
17,scp_ckpt_real,1.162201521,0.042406000,0.027598000,0.001
17,create_ns_real,0.053022542,0.014354000,0.003769000,0.000
18,ns_clear,0.970243628,0.012702000,0.003659000,0.016
18,scp_ckpt,1.668260096,0.008983000,0.003794000,0.007
18,create_ns,0.570395337,0.008419000,0.004657000,0.022
18,clear_arp,0.112434199,0.022375000,0.024961000,0.000
18,ns_clear_real,0.164407639,0.017256000,0.019752000,0.000
18,scp_ckpt_real,1.173504945,0.039736000,0.032045000,0.001
18,create_ns_real,0.099877410,0.013231000,0.004238000,0.000
19,ns_clear,1.006536782,0.013324000,0.000000000,0.012
19,scp_ckpt,1.664238706,0.007265000,0.005483000,0.007
19,create_ns,0.528754880,0.002001000,0.011008000,0.023
19,clear_arp,0.113402369,0.024437000,0.020379000,0.000
19,ns_clear_real,0.152643454,0.009184000,0.020841000,0.000
19,scp_ckpt_real,1.174587129,0.038874000,0.039017000,0.001
19,create_ns_real,0.055684086,0.011905000,0.005860000,0.000
20,ns_clear,0.948235863,0.005539000,0.007296000,0.013
20,scp_ckpt,1.643710032,0.007205000,0.005330000,0.007
20,create_ns,0.566039989,0.007920000,0.005844000,0.023
20,clear_arp,0.119546177,0.014416000,0.030910000,0.000
20,ns_clear_real,0.136901137,0.007316000,0.025112000,0.000
20,scp_ckpt_real,1.154091855,0.043516000,0.027783000,0.001
20,create_ns_real,0.095130998,0.012951000,0.004991000,0.000
21,ns_clear,0.959683629,0.003956000,0.009534000,0.013
21,scp_ckpt,1.679067817,0.012877000,0.000000000,0.007
21,create_ns,0.574807528,0.007132000,0.005658000,0.021
21,clear_arp,0.117001602,0.018596000,0.023901000,0.000
21,ns_clear_real,0.137619068,0.008404000,0.019770000,0.000
21,scp_ckpt_real,1.164747219,0.042342000,0.031879000,0.001
21,create_ns_real,0.096928133,0.014915000,0.003683000,0.000
22,ns_clear,0.970122559,0.013481000,0.000000000,0.013
22,scp_ckpt,1.672210045,0.005554000,0.007305000,0.007
22,create_ns,0.574079278,0.011865000,0.000000000,0.020
22,clear_arp,0.131266884,0.023314000,0.024142000,0.000
22,ns_clear_real,0.147531215,0.021095000,0.007556000,0.000
22,scp_ckpt_real,1.130034873,0.044256000,0.026612000,0.001
22,create_ns_real,0.100804928,0.011236000,0.006898000,0.000
23,ns_clear,0.929677410,0.013213000,0.000000000,0.014
23,scp_ckpt,1.650014248,0.007122000,0.005658000,0.007
23,create_ns,0.558829900,0.007345000,0.004997000,0.021
23,clear_arp,0.083499554,0.024658000,0.017955000,0.000
23,ns_clear_real,0.095818856,0.016326000,0.010371000,0.000
23,scp_ckpt_real,1.151717089,0.044326000,0.024204000,0.001
23,create_ns_real,0.073906380,0.010753000,0.008131000,0.000
24,ns_clear,0.916836451,0.007682000,0.006295000,0.015
24,scp_ckpt,1.652990120,0.008054000,0.005384000,0.008
24,create_ns,0.532425422,0.007076000,0.005722000,0.023
24,clear_arp,0.111421405,0.026783000,0.017565000,0.000
24,ns_clear_real,0.105239778,0.011735000,0.017452000,0.000
24,scp_ckpt_real,1.145606874,0.044501000,0.025043000,0.001
24,create_ns_real,0.058724533,0.009221000,0.008616000,0.000
25,ns_clear,0.964168319,0.007293000,0.005862000,0.013
25,scp_ckpt,1.768022532,0.011096000,0.001481000,0.007
25,create_ns,0.546092524,0.012701000,0.001648000,0.025
25,clear_arp,0.089296829,0.027008000,0.021001000,0.000
25,ns_clear_real,0.115682712,0.016406000,0.015922000,0.000
25,scp_ckpt_real,1.260931025,0.047823000,0.021251000,0.001
25,create_ns_real,0.064361890,0.014539000,0.010458000,0.000
26,ns_clear,1.250511387,0.014368000,0.000000000,0.011
26,scp_ckpt,1.679733013,0.000000000,0.013525000,0.008
26,create_ns,0.524641840,0.007928000,0.005571000,0.024
26,clear_arp,0.102931839,0.034662000,0.014535000,0.000
26,ns_clear_real,0.368582455,0.014301000,0.021487000,0.000
26,scp_ckpt_real,1.180602315,0.043364000,0.025364000,0.001
26,create_ns_real,0.050070701,0.009990000,0.007507000,0.000
27,ns_clear,0.996128710,0.005722000,0.007222000,0.012
27,scp_ckpt,1.659978570,0.013108000,0.000000000,0.008
27,create_ns,0.519978995,0.001453000,0.011440000,0.024
27,clear_arp,0.084295996,0.021600000,0.024394000,0.000
27,ns_clear_real,0.106750885,0.013143000,0.015166000,0.000
27,scp_ckpt_real,1.176130322,0.029257000,0.040966000,0.001
27,create_ns_real,0.056573887,0.014355000,0.002850000,0.000
28,ns_clear,0.929335523,0.009756000,0.003864000,0.014
28,scp_ckpt,1.675522048,0.008297000,0.006136000,0.008
28,create_ns,0.539412985,0.009103000,0.004979000,0.025
28,clear_arp,0.087536475,0.010818000,0.036731000,0.000
28,ns_clear_real,0.112827670,0.010196000,0.018443000,0.000
28,scp_ckpt_real,1.165794249,0.031533000,0.041318000,0.001
28,create_ns_real,0.056945663,0.013949000,0.003744000,0.000
29,ns_clear,0.941607849,0.007051000,0.005565000,0.013
29,scp_ckpt,1.666857279,0.009235000,0.002520000,0.007
29,create_ns,0.533757849,0.006221000,0.006955000,0.024
29,clear_arp,0.084305705,0.012849000,0.031590000,0.000
29,ns_clear_real,0.104552564,0.010954000,0.019100000,0.000
29,scp_ckpt_real,1.181815322,0.045347000,0.021463000,0.001
29,create_ns_real,0.064434126,0.013153000,0.004239000,0.000
30,ns_clear,0.916261685,0.010228000,0.002873000,0.014
30,scp_ckpt,1.609187825,0.012248000,0.000000000,0.007
30,create_ns,0.532455739,0.007161000,0.005160000,0.022
30,clear_arp,0.081979941,0.011701000,0.032596000,0.000
30,ns_clear_real,0.104609181,0.013225000,0.015201000,0.000
30,scp_ckpt_real,1.120193950,0.040005000,0.028473000,0.001
30,create_ns_real,0.067142752,0.012963000,0.006402000,0.000
31,ns_clear,0.942389251,0.013999000,0.000000000,0.014
31,scp_ckpt,1.632941361,0.012349000,0.001641000,0.008
31,create_ns,0.545194955,0.014011000,0.000000000,0.025
31,clear_arp,0.085023552,0.027176000,0.018944000,0.000
31,ns_clear_real,0.108475298,0.010075000,0.018794000,0.000
31,scp_ckpt_real,1.130695156,0.040776000,0.029623000,0.001
31,create_ns_real,0.061003437,0.012016000,0.006742000,0.000
32,ns_clear,1.249344700,0.009132000,0.003791000,0.010
32,scp_ckpt,1.623402847,0.010691000,0.001274000,0.007
32,create_ns,0.539382809,0.001304000,0.010051000,0.020
32,clear_arp,0.084026673,0.023113000,0.023655000,0.000
32,ns_clear_real,0.396465612,0.011285000,0.021010000,0.000
32,scp_ckpt_real,1.122874631,0.048670000,0.018695000,0.001
